"","date","high","low","open","close","volume","quoteVolume","weightedAverage","Average","dates_formatted"
"44352",1504204200,4737.267364,4710.5,4718,4737.267364,680082.7339,143.9425682,4724.681116,4724,2017-09-01
"44353",1504206000,4742.418945,4700,4737.267364,4716.039868,653827.5575,138.4608041,4722.112961,4722,2017-09-01
"44354",1504207800,4722.99,4700,4716.039868,4710.096467,501252.4665,106.3475917,4713.34102,4713,2017-09-01
"44355",1504209600,4720,4701,4710.096467,4719.826383,310109.5252,65.84951115,4709.367158,4709,2017-09-01
"44356",1504211400,4736,4710.166319,4719.826383,4726,322813.4876,68.3146981,4725.388482,4725,2017-09-01
"44357",1504213200,4729.9999,4717.677637,4729.9999,4721,292796.9543,61.9596449,4725.607365,4725,2017-09-01
"44358",1504215000,4726,4709.223077,4721,4709.223077,378609.4377,80.24391754,4718.232226,4718,2017-09-01
"44359",1504216800,4727.657583,4708,4709.223077,4721.179738,292548.0686,61.99206661,4719.121084,4719,2017-09-01
"44360",1504218600,4734.918297,4714,4721.179738,4719,643159.9728,136.1874367,4722.608696,4722,2017-09-01
"44361",1504220400,4729.76,4710,4715.254573,4714,578318.1315,122.6735261,4714.286364,4714,2017-09-01
"44362",1504222200,4728,4709.416304,4713.170063,4715.154725,308551.1315,65.39945478,4717.946542,4717,2017-09-01
"44363",1504224000,4724,4710,4715.154725,4723.799999,386278.7543,81.89456443,4716.781352,4716,2017-09-01
"44364",1504225800,4742.50065,4719,4719,4738,581271.0405,122.8475754,4731.644388,4731,2017-09-01
"44365",1504227600,4750,4732.194381,4738.1,4746,482381.7719,101.707813,4742.819236,4742,2017-09-01
"44366",1504229400,4750,4722.005637,4749.98,4749.99,456991.8492,96.30081728,4745.461795,4745,2017-09-01
"44367",1504231200,4750,4727,4750,4744.899997,396678.737,83.69874415,4739.36307,4739,2017-09-01
"44368",1504233000,4747.7845,4735.410197,4735.410197,4744.3,423693.2655,89.33015307,4743.003913,4743,2017-09-01
"44369",1504234800,4744.3,4738,4744,4738.7,512982.4718,108.1421307,4743.595012,4743,2017-09-01
"44370",1504236600,4742.599999,4730,4738.7,4734,443167.6609,93.6118946,4734.095627,4734,2017-09-01
"44371",1504238400,4736,4706.467662,4734,4710,523204.7784,110.7925727,4722.381344,4722,2017-09-01
"44372",1504240200,4718,4675,4707,4681,981913.4175,209.0587009,4696.831144,4696,2017-09-01
"44373",1504242000,4700,4675.03,4681,4687.13483,826320.3961,176.2645194,4687.956482,4687,2017-09-01
"44374",1504243800,4693.898294,4677.23,4692,4678.807748,485647.3586,103.543126,4690.290678,4690,2017-09-01
"44375",1504245600,4697.644601,4664.633844,4678.339867,4685.140315,470287.7941,100.6290338,4673.480169,4673,2017-09-01
"44376",1504247400,4718,4676.672,4681.090132,4717,479935.4926,102.1675877,4697.531806,4697,2017-09-01
"44377",1504249200,4730,4711.093838,4718,4717,591570.7044,125.3069732,4720.97194,4720,2017-09-01
"44378",1504251000,4730.11,4704.298393,4717,4730.11,354783.7131,75.20342506,4717.653655,4717,2017-09-01
"44379",1504252800,4750,4722.882573,4730.000002,4750,551442.5398,116.3609489,4739.068778,4739,2017-09-01
"44380",1504254600,4769.111111,4747,4750,4758.311792,620154.2001,130.3162034,4758.84183,4758,2017-09-01
"44381",1504256400,4770,4753,4758.9,4765,261424.0589,54.87943053,4763.607356,4763,2017-09-01
"44382",1504258200,4767,4754.355832,4766.558208,4758.361861,510116.1211,107.0941112,4763.250895,4763,2017-09-01
"44383",1504260000,4785,4751,4754.355832,4776,576868.563,120.9825015,4768.198341,4768,2017-09-01
"44384",1504261800,4787.219777,4773.736079,4775,4780.6,312955.2138,65.44598441,4781.885651,4781,2017-09-01
"44385",1504263600,4790,4761.12561,4780.6,4789,834926.2899,174.8586292,4774.864665,4774,2017-09-01
"44386",1504265400,4789,4761,4789,4775,806391.1929,168.9438755,4773.130665,4773,2017-09-01
"44387",1504267200,4780,4750.739692,4770.621867,4764,1190107.002,249.7338663,4765.501048,4765,2017-09-01
"44388",1504269000,4820,4764,4764,4797,1776091.186,369.8305341,4802.446046,4802,2017-09-01
"44389",1504270800,4829,4796,4796.4796,4816.3,1075180.614,223.2139307,4816.816814,4816,2017-09-01
"44390",1504272600,4822.3,4780,4816.3,4800.500001,1329201.13,276.8190082,4801.697464,4801,2017-09-01
"44391",1504274400,4803.84837,4727,4800.500001,4727,1187897.88,249.4087371,4762.85592,4762,2017-09-01
"44392",1504276200,4769.983989,4721.011,4727,4769.983989,1443761.318,304.2143657,4745.868309,4745,2017-09-01
"44393",1504278000,4788.215442,4755,4768,4773.612,769650.4006,161.2614979,4772.685424,4772,2017-09-01
"44394",1504279800,4798.968449,4758,4780,4777.8817,998634.3768,208.8881118,4780.71427,4780,2017-09-01
"44395",1504281600,4810,4756.685032,4777.8817,4804.251883,1486754.186,311.031911,4780.06961,4780,2017-09-01
"44396",1504283400,4804.251883,4772,4789,4792.396,765963.0911,160.017822,4786.736137,4786,2017-09-01
"44397",1504285200,4808,4772,4799.9952,4803,1128218.842,235.045407,4800.003781,4800,2017-09-01
"44398",1504287000,4818.01,4790,4803,4815,905251.8257,188.2774843,4808.072666,4808,2017-09-01
"44399",1504288800,4824,4800,4811,4803.132729,947713.9515,196.9308971,4812.418801,4812,2017-09-01
"44400",1504290600,4825,4775,4803.132729,4780.99999,993700.5309,206.842132,4804.149527,4804,2017-09-02
"44401",1504292400,4818.372,4771.12,4780,4808,1249759.414,260.297069,4801.281163,4801,2017-09-02
"44402",1504294200,4865.55902,4800,4800,4860,1918518.969,396.7177441,4835.97973,4835,2017-09-02
"44403",1504296000,4899,4860,4860.486,4897,1600159.317,327.728087,4882.582178,4882,2017-09-02
"44404",1504297800,4897.451025,4837.4,4897.451025,4849.999,2870900.278,591.0489636,4857.296864,4857,2017-09-02
"44405",1504299600,4870,4840.295026,4849,4846.477062,1017670.566,209.554934,4856.342663,4856,2017-09-02
"44406",1504301400,4849.112549,4816.574856,4846.477062,4845.906483,875113.995,181.0197257,4834.357093,4834,2017-09-02
"44407",1504303200,4865,4843,4845.898327,4863.5,660189.6267,136.0657343,4851.990328,4851,2017-09-02
"44408",1504305000,4882.836773,4830.831351,4857,4859.513952,835306.7088,171.8043244,4861.965563,4861,2017-09-02
"44409",1504306800,4888,4859.513952,4865,4871.991184,512629.1487,105.144554,4875.470284,4875,2017-09-02
"44410",1504308600,4900,4865,4867.852075,4899,721333.9527,147.6392725,4885.78642,4885,2017-09-02
"44411",1504310400,4900,4886.244742,4900,4899,643061.8046,131.3078808,4897.358793,4897,2017-09-02
"44412",1504312200,4918.07048,4892,4897.224,4906,682838.8389,139.2485081,4903.742586,4903,2017-09-02
"44413",1504314000,4939,4901.51,4906.8,4931.021293,1138388.521,231.4034894,4919.495916,4919,2017-09-02
"44414",1504315800,4940,4905.529288,4938.868712,4939,855809.8048,173.7098007,4926.663904,4926,2017-09-02
"44415",1504317600,4950,4920.14,4940,4940,1212015.035,245.2017154,4942.930489,4942,2017-09-02
"44416",1504319400,4948.865995,4850.1,4940,4891.2,2572281.397,525.4828041,4895.081964,4895,2017-09-02
"44417",1504321200,4900,4800,4897,4809.9,3023346.958,625.7774582,4831.345262,4831,2017-09-02
"44418",1504323000,4879.227696,4800,4810.1,4807,2123862.639,440.4343752,4822.199989,4822,2017-09-02
"44419",1504324800,4850.582813,4804.373624,4807,4837,742425.1241,153.6331313,4832.454547,4832,2017-09-02
"44420",1504326600,4844.751314,4815,4837,4817.123717,565308.8605,116.9467506,4833.899684,4833,2017-09-02
"44421",1504328400,4823,4650,4817.123717,4674.999999,3956771.819,839.3027064,4714.356082,4714,2017-09-02
"44422",1504330200,4702.718795,4530,4674.999999,4545,6189332.334,1350.639095,4582.521236,4582,2017-09-02
"44423",1504332000,4692,4530,4535.715766,4692,5071595.449,1097.117309,4622.655577,4622,2017-09-02
"44424",1504333800,4725.448128,4650,4692,4706,2442163.079,520.4500874,4692.405935,4692,2017-09-02
"44425",1504335600,4762,4700.58,4710,4730.000001,1841279.777,389.282255,4729.935035,4729,2017-09-02
"44426",1504337400,4765.013333,4641.3974,4734,4719.2,1854155.617,393.7342817,4709.154632,4709,2017-09-02
"44427",1504339200,4719.070602,4628.333333,4706,4628.333333,1501896.135,321.8001895,4667.169826,4667,2017-09-02
"44428",1504341000,4686.451957,4585.1,4628.333333,4684.34931,1610391.026,348.4598475,4621.453627,4621,2017-09-02
"44429",1504342800,4686.451957,4540.14,4684.34931,4591.976,1715329.508,372.1753894,4608.927825,4608,2017-09-02
"44430",1504344600,4621.159185,4557.156402,4591.976,4621.159184,1743741.437,379.4772817,4595.114177,4595,2017-09-02
"44431",1504346400,4642,4570,4620.459,4598.499814,925644.5047,200.7780501,4610.28735,4610,2017-09-02
"44432",1504348200,4686,4580,4589.450525,4676.62798,1337793.412,288.115113,4643.260112,4643,2017-09-02
"44433",1504350000,4693.999996,4661.490212,4676.62798,4688.436796,544318.5326,116.3890016,4676.717948,4676,2017-09-02
"44434",1504351800,4693,4629.233398,4693,4648,629090.8501,135.2244852,4652.196305,4652,2017-09-02
"44435",1504353600,4683.599998,4601,4642.0006,4601,1133798.833,244.0750565,4645.287596,4645,2017-09-02
"44436",1504355400,4626.967814,4549.998,4601,4586.616135,2361690.167,515.9697406,4577.187345,4577,2017-09-02
"44437",1504357200,4627.384,4581.972,4583.616135,4625.971998,764466.8422,166.1439249,4601.232592,4601,2017-09-02
"44438",1504359000,4638.16448,4586,4624.170548,4616.4308,962766.3304,208.7306163,4612.482575,4612,2017-09-02
"44439",1504360800,4621.141388,4517.267437,4600,4525,1704700.879,373.5681506,4563.292873,4563,2017-09-02
"44440",1504362600,4525,4407.529668,4525,4455,5504190.854,1233.033298,4463.943401,4463,2017-09-02
"44441",1504364400,4455,4361.18,4455,4373.73,4357718.935,991.631872,4394.492612,4394,2017-09-02
"44442",1504366200,4508.833736,4370,4373.73,4495,3758689.754,841.8487337,4464.804191,4464,2017-09-02
"44443",1504368000,4510.11,4398.763693,4495,4400,1750315.43,391.9740617,4465.385854,4465,2017-09-02
"44444",1504369800,4505,4397,4400,4469.7765,2484695.39,555.6750642,4471.489815,4471,2017-09-02
"44445",1504371600,4558.098,4440,4465,4520,2222108.054,492.9629817,4507.657038,4507,2017-09-02
"44446",1504373400,4557.2715,4519.443,4520,4550,1251616.509,275.7975479,4538.171273,4538,2017-09-02
"44447",1504375200,4557.096,4526,4550,4537.274582,1069669.255,235.2038157,4547.839718,4547,2017-09-02
"44448",1504377000,4547.545211,4495,4537.274582,4495,926508.8902,204.7386892,4525.323933,4525,2017-09-03
"44449",1504378800,4534.730366,4465,4495,4530,1297551.615,289.0857929,4488.465527,4488,2017-09-03
"44450",1504380600,4534.79628,4496.958211,4530,4500.000008,512323.7517,113.4858156,4514.429834,4514,2017-09-03
"44451",1504382400,4514,4405,4504,4428.999999,1784050.022,401.1101327,4447.780986,4447,2017-09-03
"44452",1504384200,4453.453948,4405.573998,4423,4421,1253898.629,283.2689242,4426.530842,4426,2017-09-03
"44453",1504386000,4421,4367,4419,4378.178915,2457450.096,559.6502483,4391.0462,4391,2017-09-03
"44454",1504387800,4422,4375,4378.178915,4413.156,1057402.986,240.4427518,4397.73284,4397,2017-09-03
"44455",1504389600,4474.090448,4410,4415,4472,1474504.317,331.0831918,4453.576483,4453,2017-09-03
"44456",1504391400,4480,4410,4472,4411.470976,906444.9855,203.3989167,4456.488756,4456,2017-09-03
"44457",1504393200,4460,4405.249297,4411.470976,4460,732092.0901,165.290865,4429.114035,4429,2017-09-03
"44458",1504395000,4511,4424.634506,4460,4511,1796802.645,400.8980407,4481.944191,4481,2017-09-03
"44459",1504396800,4564.920405,4505,4511,4543.009188,1619679.715,356.5228777,4542.98957,4542,2017-09-03
"44460",1504398600,4610.271287,4539.611888,4539.611888,4591.637,1801076.187,393.160807,4581.016609,4581,2017-09-03
"44461",1504400400,4607.592623,4550,4591.637,4550,967653.9873,210.8543787,4589.205088,4589,2017-09-03
"44462",1504402200,4597.276495,4551.19,4551.190969,4570.754781,471469.6013,103.100009,4572.934629,4572,2017-09-03
"44463",1504404000,4575.614782,4525,4570.07,4555.508822,550117.6826,121.0131366,4545.933592,4545,2017-09-03
"44464",1504405800,4600,4551.34228,4551.34228,4585.446137,616599.7038,134.68576,4578.061583,4578,2017-09-03
